pclass,sex,age,sibsp,parch,fare,embarked,survived
2,male,47.0,0,0,15.0,S,0
3,male,,0,0,8.7125,C,0
1,male,,0,0,26.2875,S,1
3,male,,1,1,20.525,S,0
3,male,,1,1,15.9,,1
3,male,,0,0,24.963864541576374,S,1
3,male,40.0,1,4,27.9,,0
3,male,,0,0,7.2292,C,1
1,male,,0,0,26.55,S,1
3,male,,0,0,7.8292,Q,0
3,male,59.0,0,0,7.25,,0
2,male,34.0,0,0,13.0,S,0
3,female,18.0,0,1,9.35,S,1
1,female,22.0,0,0,,S,1
3,male,61.0,0,0,,S,0
3,male,40.0,0,0,7.8958,S,0
1,male,,0,0,42.4,S,0
1,male,23.0,0,1,63.3583,C,1
1,female,45.0,1,1,164.8667,S,1
3,female,,0,0,7.7375,Q,1
2,male,,0,0,55.88238043899892,S,0
3,male,20.0,0,0,7.2292,C,1
3,male,36.0,0,0,0.0,S,0
3,male,,0,0,7.225,,0
2,female,40.0,1,1,39.0,S,1
3,male,16.0,0,0,8.05,,1
3,female,,0,0,7.7333,Q,1
2,male,184.51501735871508,0,0,26.0,S,0
2,female,31.0,1,1,26.25,S,1
3,male,26.0,1,0,7.8542,S,0
2,female,40.0,0,0,15.75,S,1
3,male,23.0,0,0,7.8958,S,0
3,female,4.0,1,1,16.7,S,1
3,male,65.0,0,0,,Q,0
3,male,,0,0,7.8958,,0
3,female,,1,0,14.4542,C,0
3,male,47.0,0,0,9.0,S,0
1,female,50.0,0,0,28.7125,C,0
1,female,44.0,0,0,,,1
2,male,,0,0,0.0,S,0
2,male,24.0,0,0,40.47962800777008,S,0
1,male,,1,1,386.63872317714754,S,0
3,male,,0,0,7.8958,S,0
2,male,57.0,0,0,12.35,Q,0
1,male,65.0,0,1,61.9792,C,0
3,female,,0,0,7.8792,Q,1
2,male,18.0,0,0,11.5,S,0
2,female,,0,0,13.0,,1
3,male,30.0,0,0,7.8958,S,0
3,male,,0,0,7.8958,S,0
1,male,62.083745009698895,0,0,,S,0
1,female,38.0,0,0,227.525,C,1
3,male,20.0,1,0,7.925,S,1
2,male,,0,0,10.5,,1
3,male,16.0,1,3,34.375,S,0
3,male,4.0,4,2,,S,0
1,male,40.0,0,0,27.7208,C,0
1,male,,0,0,29.7,C,1
2,male,35.0,0,0,10.5,S,0
2,female,3.0,1,2,41.5792,,1
3,male,19.0,0,0,,S,0
3,male,,0,0,,S,0
3,male,28.0,0,0,22.525,S,0
2,male,,0,0,13.8625,C,1
3,male,,0,0,8.1583,S,0
3,male,,0,0,7.25,S,0
2,male,23.0,0,0,10.5,S,0
1,male,64.0,0,0,26.0,S,0
1,male,39.0,0,0,0.0,S,0
1,male,,0,0,26.738790757011063,S,1
3,male,24.0,0,0,9.5,S,0
1,male,61.0,0,0,33.5,S,0
1,male,60.0,0,0,,S,0
3,male,,0,0,6.924398777352536,C,1
3,male,20.0,0,0,9.225,S,0
1,female,30.0,0,0,86.5,S,1
1,male,35.0,0,0,26.55,C,1
3,male,18.918392643015874,1,0,8.624176487865872,S,1
1,male,,0,0,115.84383303482788,,1
1,female,35.0,0,0,512.3292,C,1
3,male,,0,0,7.8958,S,0
1,female,30.0,0,0,56.9292,C,1
3,female,29.0,1,1,10.4625,S,0
3,female,18.0,0,1,14.4542,C,0
2,male,,1,1,26.0,S,1
3,male,26.0,1,0,14.4542,C,0
3,female,63.0,0,0,9.5875,S,1
2,male,31.0,0,0,10.5,S,0
3,male,34.0,0,0,28.388390900165348,S,0
3,male,32.0,0,0,7.8542,S,1
3,male,29.0,0,0,7.75,Q,1
1,male,,0,0,,S,0
3,male,20.0,1,1,15.7417,,1
3,male,34.0,0,0,8.05,S,0
3,male,,0,0,8.05,,0
1,male,47.0,0,0,52.0,S,0
1,male,,0,2,81.8583,S,1
2,male,19.0,1,1,36.75,S,0
3,male,,0,0,,S,0
3,female,,0,0,7.649797011306048,Q,1
3,male,,0,0,7.8958,S,0
1,male,,0,0,50.4958,S,0
2,female,22.0,1,2,41.5792,C,1
2,female,158.27128670322858,1,1,32.5,S,1
3,male,,0,0,8.05,S,0
1,female,35.0,1,0,225.3121569427909,S,1
3,male,44.0,0,0,,,1
1,male,,0,0,25.925,S,0
3,male,,0,0,9.5,S,1
3,male,,1,1,24.15,S,0
3,female,20.0,1,0,9.825,S,0
1,male,65.0,0,0,26.55,S,0
1,female,,1,0,78.2667,,1
2,male,36.0,1,2,27.75,S,0
1,male,,0,0,135.58664478969547,S,0
3,male,24.0,0,0,7.8958,S,0
3,male,28.0,2,0,7.925,S,0
3,male,32.0,0,0,24.78950059374664,S,0
3,male,28.0,0,0,7.8958,S,0
3,male,43.0,0,0,8.05,S,0
1,male,,0,0,,S,0
3,female,3.0,3,1,21.075,S,0
3,male,26.0,0,0,7.8958,S,0
3,male,,0,0,,Q,0
1,female,81.03780194152606,1,0,57.0,S,1
3,male,,1,0,24.15,,0
1,male,49.0,1,0,56.9292,C,1
1,male,47.0,0,0,38.5,S,0
1,male,54.0,0,0,51.8625,S,0
3,male,,4,1,39.6875,,0
1,male,,0,0,79.2,C,0
3,male,8.0,4,1,29.125,Q,0
3,male,,0,0,,S,0
3,female,8.0,3,1,21.075,S,0
3,male,84.43816453817776,0,0,7.7958,S,1
3,male,,1,0,15.5,Q,0
3,male,28.0,0,0,9.5,S,0
2,female,,2,3,18.75,,1
2,female,19.0,1,0,26.0,S,1
1,female,44.0,0,1,57.9792,C,1
2,male,18.0,0,0,11.5,S,0
1,female,32.0,0,0,76.2917,C,1
3,male,25.0,0,0,7.25,S,0
2,female,34.0,0,0,10.5,S,1
3,male,,0,0,8.05,S,0
3,male,,4,1,29.125,Q,0
1,male,45.5,0,0,28.5,S,0
3,male,40.5,0,0,7.75,Q,0
3,female,23.0,0,0,7.925,S,0
3,female,29.0,0,2,15.2458,C,1
1,female,33.0,1,0,53.1,S,1
1,male,,0,0,26.0,S,0
2,male,52.0,0,0,13.5,S,0
3,male,,2,0,23.25,Q,1
3,female,15.0,0,0,7.225,C,1
3,male,,0,0,,,0
2,female,,1,0,,,1
3,male,24.0,0,0,7.05,S,0
3,male,70.5,0,0,7.75,Q,0
3,male,,0,0,8.05,S,0
3,male,,3,1,25.4667,S,0
3,male,19.0,0,0,10.1708,S,0
3,female,39.0,1,5,31.275,,0
3,male,,4,1,39.6875,,0
2,male,19.0,0,0,10.5,,0
3,male,29.0,1,0,7.0458,S,0
3,male,9.0,4,2,31.3875,S,0
2,male,16.0,0,0,26.0,S,0
3,female,21.0,1,0,,S,0
1,female,19.0,0,0,30.0,S,1
1,female,84.74263081039521,1,0,227.525,C,1
2,male,,1,0,26.0,S,0
3,male,,0,0,7.75,,0
3,female,,0,0,7.8792,Q,1
2,male,,0,0,12.875,C,0
3,female,24.0,0,2,16.7,S,1
2,female,,1,0,26.0,S,1
2,female,36.0,0,0,13.0,S,1
1,female,19.0,0,2,26.2833,S,1
3,female,43.0,1,6,46.9,S,0
2,female,,1,2,27.75,S,1
1,male,,0,0,27.7208,C,0
1,male,58.0,0,0,98.57384039495668,C,0
1,male,80.0,0,0,30.0,S,1
3,female,5.0,2,1,19.2583,C,1
3,male,,0,0,24.800580608818287,C,0
2,female,48.0,1,2,65.0,S,1
3,female,39.0,0,5,,Q,0
3,male,,0,0,7.225,C,0
3,male,,0,0,7.75,Q,1
3,female,19.0,1,0,,S,1
1,male,37.0,0,1,29.7,C,0
1,female,17.0,1,0,,C,1
1,male,,1,0,90.0,,1
3,male,17.0,0,0,8.6625,S,0
3,female,22.0,0,0,7.775,S,1
3,male,36.0,0,0,7.4958,,0
3,female,33.0,3,0,15.85,S,1
1,female,38.023806791391706,0,0,75.99931114236195,,1
2,female,,0,0,13.0,S,1
2,male,34.0,0,0,59.47206269556065,S,1
1,male,,0,0,26.55,S,1
3,male,,0,0,,S,0
3,female,,0,0,7.75,Q,1
1,male,0.92,1,2,151.55,S,1
1,female,127.4859400938335,1,0,55.9,S,1
3,male,7.0,4,1,39.6875,,0
3,female,,0,0,7.75,Q,1
1,male,51.0,0,1,61.3792,C,0
3,female,19.0,0,0,7.8792,Q,1
3,male,16.0,0,0,8.05,S,0
3,male,29.0,0,0,9.4833,S,0
1,female,,2,2,262.375,C,1
3,male,,0,0,7.7292,Q,0
3,female,2.0,4,2,31.275,S,0
2,male,30.0,1,0,24.0,C,0
3,female,31.0,1,0,18.0,S,0
1,female,41.0,0,0,134.5,,1
3,male,,0,0,24.15,,0
3,male,17.0,0,0,8.6625,S,0
3,male,,1,0,7.0542,S,0
3,female,,0,1,14.4542,C,0
1,female,36.0,0,2,71.0,,1
3,male,,1,0,7.75,Q,0
3,male,21.0,0,0,7.8,S,0
3,male,30.0,1,0,,S,0
3,female,,3,1,25.4667,,0
3,male,,1,2,23.45,S,0
3,female,29.0,0,4,21.075,S,0
3,male,33.0,0,0,7.8958,C,0
2,male,27.0,0,0,,,0
3,female,,0,0,7.75,Q,1
2,female,45.0,1,1,26.25,S,1
1,male,19.0,1,0,53.1,S,0
3,male,,0,0,6.971303955937081,S,0
2,female,29.0,1,0,26.0,,1
2,female,32.5,0,0,13.0,S,1
3,male,32.0,1,0,,S,0
2,female,45.0,0,0,13.5,S,1
1,male,,0,0,106.33971898365992,S,0
2,female,28.0,1,0,26.0,S,1
3,male,,8,2,69.55,S,0
2,male,32.5,1,0,30.0708,C,0
3,male,32.0,0,0,56.4958,S,1
3,female,41.0,0,2,20.2125,S,0
3,female,,0,0,29.510615888321592,S,0
2,male,,0,0,0.0,S,0
3,male,,2,0,21.6792,C,0
2,male,,0,0,12.525,S,0
3,male,74.0,0,0,7.775,,0
3,male,39.0,0,0,24.15,,0
3,male,,0,0,32.34391269539366,S,1
2,male,30.0,0,0,10.5,S,0
3,male,,0,0,14.5,S,0
2,male,32.0,0,0,10.5,S,0
1,female,30.0,0,0,93.5,S,1
3,male,33.0,0,0,8.6625,C,0
2,male,54.0,0,0,14.0,,0
1,female,35.0,1,0,83.475,S,1
3,male,,0,0,,,1
1,male,0.8496294392276406,1,2,162.95624201854346,S,1
3,male,33.0,0,0,7.8958,S,0
3,female,1.0,1,1,11.1333,S,1
3,female,22.0,0,0,10.5167,S,0
3,male,,8,2,69.55,S,0
3,male,,0,0,8.05,S,0
3,male,39.0,0,0,7.925,,1
3,male,,0,0,7.4958,S,0
1,female,23.0,1,0,113.275,C,1
3,male,,1,0,19.9667,S,0
3,male,20.0,0,0,,,0
3,male,,0,0,7.75,Q,0
1,female,24.0,0,0,49.5042,C,1
1,female,15.0,0,1,211.3375,S,1
1,female,35.0,0,0,135.6333,,1
3,female,,1,0,24.15,Q,1
3,male,40.0,1,1,15.5,Q,0
1,female,31.0,0,2,,S,1
3,male,41.79836137892589,0,0,8.445760622681139,,1
3,female,28.0,0,0,7.8958,S,0
2,male,0.67,1,1,14.5,S,1
3,female,89.30661636900346,0,0,,S,1
2,male,32.0,2,0,73.5,S,0
2,male,32.0,1,0,26.0,,1
1,female,48.0,0,0,25.9292,S,1
2,female,57.0,0,0,10.5,S,0
2,female,24.0,0,0,13.0,,1
3,male,19.0,0,0,8.05,S,1
3,male,18.0,1,1,20.2125,S,0
3,male,32.0,0,0,7.925,S,0
3,male,6.0,0,1,12.475,,1
2,male,21.0,1,0,11.5,S,0
1,female,22.0,0,2,49.5,C,1
2,male,,0,0,0.0,S,0
2,male,21.0,2,0,73.5,S,0
2,male,30.0,0,0,13.0,S,0
1,female,62.0,0,0,80.0,,1
3,male,22.0,0,0,7.8958,S,0
1,male,56.0,0,0,26.55,S,0
3,male,33.0,0,0,7.775,S,0
3,male,39.0,1,5,31.275,S,0
3,male,18.0,1,1,7.8542,S,0
1,female,39.0,1,1,110.8833,C,1
3,male,16.0,0,0,,S,0
2,male,,0,0,13.0,S,0
1,female,38.0,0,0,80.0,,1
3,female,81.4247348895971,0,0,,S,1
3,male,,0,0,7.25,S,0
3,male,42.0,0,1,,S,0
3,female,5.0,0,0,12.475,S,1
1,female,,1,1,93.5,S,1
1,female,,0,0,25.9292,S,1
3,male,,0,0,7.8958,,0
2,female,55.0,0,0,16.0,S,1
3,male,,0,0,7.25,,0
3,male,26.0,1,2,20.575,S,0
2,male,30.0,0,0,13.0,,0
2,male,,0,0,0.0,S,0
3,female,,0,0,7.7333,Q,1
3,male,20.5,0,0,7.25,S,0
3,male,12.0,1,0,11.2417,,1
3,female,22.0,0,0,7.75,S,1
2,female,6.0,0,1,,S,1
3,female,18.0,0,0,6.75,Q,0
3,male,41.0,0,0,7.125,S,0
3,male,48.0,0,0,7.8542,S,0
3,male,,0,0,7.2292,C,0
1,male,,0,0,30.0,S,1
2,female,7.0,0,2,26.25,S,1
2,female,32.0,0,0,13.0,S,1
3,female,21.0,2,2,159.09614088439238,S,0
1,male,,0,0,0.0,S,0
3,male,28.0,0,0,9.5,S,0
3,male,,3,2,,S,0
3,female,30.0,0,0,12.475,S,1
3,male,,0,0,7.7375,Q,0
3,male,86.15124738703493,0,0,7.775,S,0
3,male,,0,0,7.775,S,0
2,female,90.11879577733879,0,0,13.0,S,1
3,female,,0,2,15.2458,C,0
2,female,,0,0,12.35,Q,1
3,male,19.0,0,0,7.775,S,0
2,male,23.0,0,0,13.0,S,0
3,female,,0,0,7.8792,Q,1
2,female,27.0,1,0,21.0,S,0
2,male,,0,0,13.0,,0
1,male,38.0,0,1,153.4625,S,0
3,male,,0,0,8.05,,0
3,male,36.79593663611106,0,0,8.116135083517037,,0
1,female,31.0,1,0,113.275,C,1
3,male,35.0,0,0,7.8958,C,0
3,female,,1,1,15.5,Q,0
2,female,44.0,1,0,26.0,S,0
2,male,44.0,1,0,26.0,S,0
3,female,17.0,4,2,7.925,,1
2,male,34.0,1,0,21.0,S,0
1,female,,1,0,39.6,C,1
1,male,17.0,0,2,110.8833,C,1
3,male,27.0,1,0,,C,0
1,female,,1,1,134.5,C,1
3,male,39.0,0,0,7.925,S,0
1,female,18.0,0,2,79.65,S,1
1,male,48.0,1,0,76.7292,C,1
2,male,1.0,0,2,37.0042,C,1
2,male,,0,0,,S,0
3,male,,0,0,7.2292,C,0
3,male,16.0,4,1,39.6875,S,0
3,female,,0,0,7.55,S,1
2,male,39.0,0,0,,S,0
1,female,52.0,1,0,78.2667,C,1
3,male,,0,0,,S,0
2,male,28.0,0,0,13.0,S,0
1,female,24.0,0,0,69.3,,1
2,female,,0,1,19.5,,1
1,male,36.0,0,0,40.125,C,0
1,male,,0,0,50.0,,0
3,female,,0,0,8.1375,Q,0
3,female,,0,0,7.225,C,1
3,female,,4,2,31.275,S,0
3,female,22.0,0,0,7.25,S,1
1,male,42.0,1,0,52.0,S,0
3,male,22.0,0,0,7.8958,S,0
2,female,113.76154620638916,1,1,26.0,,0
3,male,112.6545050019389,0,0,7.7958,S,0
3,male,22.0,0,0,7.5208,S,0
3,male,20.0,0,0,37.749796197719604,S,0
1,male,71.0,0,0,49.5042,C,0
1,male,,0,0,39.6,,0
1,male,22.0,0,0,135.6333,C,0
2,male,66.0,0,0,10.5,S,0
2,male,23.0,0,0,15.0458,C,0
1,male,,0,0,30.6958,C,0
1,male,,0,0,30.5,S,1
1,male,,1,0,106.425,C,0
3,male,21.0,0,0,8.05,S,0
1,male,32.0,0,0,30.5,C,1
3,male,23.0,0,0,7.8542,S,0
2,female,28.0,1,0,24.0,C,1
3,male,87.497625242668,0,0,,S,0
3,male,21.0,0,0,25.523430670785825,S,0
3,female,,0,0,7.2292,C,1
1,male,26.0,0,0,30.0,,1
2,male,42.0,1,0,27.0,S,0
3,female,18.0,0,0,7.775,S,0
3,male,,1,0,19.9667,S,0
2,female,28.0,0,0,12.65,,1
3,male,,0,0,,S,0
2,female,22.0,1,1,,S,1
3,female,17.0,0,0,14.4583,C,0
1,male,36.0,0,0,26.2875,S,1
1,female,,1,0,277.32364886236337,C,1
3,male,19.0,0,0,,S,0
2,male,36.0,0,0,,,0
1,male,38.0,0,0,0.0,S,0
3,male,50.0,0,0,8.05,S,0
2,female,29.0,0,0,,S,1
3,male,,0,0,7.8958,S,0
3,male,26.0,0,0,,,1
3,female,22.0,0,0,,S,0
3,female,1.0,0,2,15.7417,C,1
3,male,,0,0,7.8958,C,0
3,male,25.0,0,0,7.05,S,0
3,male,22.0,1,0,7.25,S,0
2,male,,0,0,13.0,S,0
2,male,29.0,1,0,21.0,S,0
1,male,27.0,1,0,53.1,S,1
3,male,,0,0,8.05,S,0
3,female,13.0,0,0,25.914991963583653,C,1
3,male,22.0,0,0,7.2292,C,0
3,male,27.0,0,0,,S,1
3,female,26.0,0,0,7.925,S,1
3,male,,0,0,8.05,S,0
3,male,38.0,0,0,7.05,S,0
3,female,47.0,1,0,14.5,S,0
3,male,51.0,0,0,8.05,S,0
3,male,21.0,0,0,31.297103217552685,S,0
3,female,,0,0,9.5875,S,0
3,male,19.0,0,0,0.0,S,0
3,female,5.0,4,2,31.3875,S,1
2,male,28.0,0,1,33.0,S,0
2,female,38.0,0,0,13.0,S,0
2,female,54.0,1,3,23.0,S,1
1,female,51.0,1,0,77.9583,S,1
1,male,,0,0,,S,1
2,female,41.0,0,1,,S,1
3,female,16.0,0,0,7.75,,1
1,male,,0,0,31.0,S,0
2,male,1.0,2,1,39.0,S,1
3,female,,2,0,23.25,Q,1
3,female,42.450914420574065,0,2,19.633961554629213,S,0
1,female,19.0,1,0,91.0792,C,1
2,male,23.0,0,0,13.0,S,0
3,male,32.0,0,0,,Q,0
1,male,56.0,0,0,35.5,C,1
3,male,,1,0,,Q,0
3,male,,0,0,8.05,S,0
1,male,24.0,0,1,,C,0
3,male,22.0,0,0,7.25,,0
3,male,22.0,0,0,7.7958,S,0
3,male,,1,1,15.2458,,1
3,male,0.42,0,1,8.5167,C,1
3,male,49.0,0,0,,S,0
2,male,28.0,0,0,13.5,S,0
3,male,,0,0,7.55,S,0
1,male,,0,0,83.78239871738383,C,0
3,male,,0,0,7.775,S,0
3,female,31.0,0,0,8.6833,S,1
3,female,9.0,1,1,15.2458,C,0
3,female,48.0,1,3,34.375,,0
3,female,14.5,1,0,14.4542,C,0
3,female,22.0,0,0,7.75,,1
2,male,,0,0,15.05,,0
1,male,37.0,1,1,52.5542,S,1
2,female,130.47166890897591,0,2,87.65362865486463,S,1
3,male,,0,0,7.2292,C,0
3,female,,0,0,7.75,Q,1
3,female,121.31913033650434,1,0,7.925,S,0
3,male,122.78181616607806,0,0,7.8542,,0
3,male,32.0,0,0,7.8958,S,0
3,male,22.0,0,0,7.125,S,0
2,female,24.0,1,2,65.0,S,1
3,male,29.0,0,0,9.5,S,1
3,male,,0,0,7.8958,S,0
2,male,18.0,0,0,13.0,S,0
1,female,,0,0,,C,1
2,female,4.0,2,1,,S,1
3,male,35.0,0,0,7.125,S,0
3,male,,0,0,7.925,S,0
3,male,,4,1,29.125,Q,0
2,male,31.0,0,0,13.0,S,1
1,male,,0,0,227.525,C,0
3,male,16.0,1,1,20.25,S,0
3,male,30.0,0,0,7.2292,C,0
3,female,24.0,0,3,89.54120537559974,C,1
3,male,,0,0,7.7333,,0
2,male,25.0,0,0,39.569746548150235,S,0
1,male,28.0,1,0,82.1708,C,0
3,male,,0,0,7.8958,S,0
3,male,30.0,0,0,7.25,S,0
3,female,,1,1,22.3583,C,1
2,male,30.0,0,0,13.0,S,0
3,female,27.0,0,2,11.1333,S,1
3,male,,0,0,7.225,C,0
1,female,58.0,0,0,146.5208,C,1
3,male,31.0,0,0,7.925,S,1
3,male,45.0,0,0,6.975,S,0
1,male,45.0,0,0,26.55,S,1
3,female,,0,1,12.2875,S,1
3,male,,0,0,7.2292,,0
3,male,18.0,0,0,7.7958,S,0
3,male,29.0,0,0,7.775,S,0
3,male,38.0,0,0,,S,0
3,male,,0,0,,Q,0
3,male,32.0,0,0,56.4958,S,1
1,male,36.0,1,0,78.85,S,0
3,male,32.0,0,0,8.3625,S,0
1,female,36.0,1,2,120.0,S,1
3,male,21.0,0,0,7.7333,Q,0
3,female,41.0,0,5,39.6875,S,0
1,male,56.0,0,0,119.25597722730092,,0
3,male,,0,0,6.95,Q,0
3,female,,1,2,23.45,S,0
1,female,25.0,1,2,151.55,S,0
2,male,59.0,0,0,13.5,S,0
2,male,34.0,1,0,21.0,S,0
2,female,,0,1,23.0,S,1
3,male,,0,0,7.8958,S,0
3,male,,0,0,7.8958,S,0
3,male,20.0,0,0,8.6625,S,0
2,female,4.0,1,1,23.0,S,1
2,male,23.0,2,1,,S,0
2,male,3.0,1,1,,S,1
3,male,28.0,1,0,15.85,S,0
3,male,35.0,0,0,7.05,,0
3,male,,0,0,7.725,Q,0
2,male,42.0,0,0,13.0,S,1
3,male,26.0,0,0,18.7875,C,1
1,female,35.0,1,0,53.1,S,1
1,female,,1,1,52.5542,S,1
2,female,21.0,0,0,10.5,S,1
2,male,54.0,1,0,26.0,S,0
3,male,32.0,0,0,,,1
3,male,25.0,0,0,7.05,S,0
3,female,0.75,2,1,19.2583,C,1
1,male,49.0,1,0,89.1042,C,1
1,female,30.0,0,0,106.425,C,1
2,female,24.0,2,1,27.0,S,1
1,female,18.0,2,2,262.375,C,1
3,male,,0,0,7.55,S,0
2,male,18.0,0,0,73.5,S,0
2,male,43.0,1,1,26.25,S,0
1,female,24.0,0,0,83.1583,C,1
1,male,35.0,0,0,512.3292,C,1
3,male,,1,2,20.575,S,1
3,male,39.582084478218874,0,0,7.4227953000918765,S,0
3,male,26.0,2,0,8.6625,S,0
1,male,71.0,0,0,34.6542,,0
3,male,21.0,0,0,8.4333,S,0
1,male,29.0,0,0,30.0,,0
3,female,30.5,0,0,7.75,,0
1,male,42.0,1,0,52.5542,S,1
3,female,20.0,0,0,8.6625,S,0
3,male,34.0,1,1,14.4,S,0
3,female,6.0,4,2,31.275,,0
3,male,203.21719896012056,0,0,7.75,S,0
1,male,36.0,0,0,,S,1
3,male,,0,0,25.394749697463816,,0
1,female,,1,0,,S,1
1,female,33.0,1,0,90.0,Q,1
1,female,50.0,0,1,821.9980693090108,C,1
2,male,35.31885721546907,1,0,21.02366344437223,S,0
1,male,54.0,0,1,77.2875,,0
2,male,,0,0,26.0,S,0
2,female,40.0,0,0,13.0,S,1
3,male,18.0,0,0,8.3,S,0
3,female,,0,0,7.8292,Q,1
3,female,,1,5,31.3875,S,1
3,male,10.0,3,2,27.9,S,0
3,female,45.0,1,4,120.76344168238442,S,0
2,female,24.0,0,2,62.5000377212058,S,1
3,male,,0,0,8.05,,0
3,male,25.0,1,0,7.775,S,1
3,female,9.0,2,2,,S,0
1,male,50.0,1,0,55.9,S,0
3,female,,3,1,25.4667,S,0
3,male,152.85693512725706,0,0,8.6625,S,0
3,male,22.0,0,0,9.35,S,0
3,male,25.0,0,0,7.225,C,0
1,female,,1,0,66.6,S,1
1,female,58.0,0,1,153.4625,S,1
3,female,,0,0,7.75,Q,0
3,male,,0,0,8.05,S,0
3,male,22.0,0,0,,S,0
3,male,44.0,0,0,8.05,S,0
3,female,15.0,0,0,8.0292,Q,1
3,male,19.0,0,0,7.8958,S,0
3,female,26.0,1,0,,S,0
3,male,,0,0,7.8958,S,0
2,male,29.0,0,0,10.5,S,0
3,male,,0,0,7.2292,C,0
1,male,42.40932519568966,0,0,31.08104559691429,S,0
3,male,40.0,0,0,7.225,C,0
3,male,8.085393903599636,4,1,28.017125048753385,Q,0
3,male,,0,0,15.1,S,0
3,male,,8,2,69.55,S,0
3,male,20.0,0,0,7.05,S,0
3,male,32.0,0,0,7.925,S,1
1,male,52.0,0,0,30.5,,1
1,male,46.0,0,0,79.2,C,0
2,female,8.0,0,2,26.25,S,1
2,male,,0,2,29.0,S,1
1,female,,1,0,146.5208,C,1
3,female,4.0,0,1,13.4167,C,1
2,male,26.0,0,0,10.5,S,0
1,female,22.0,0,1,,S,1
2,female,99.52938966986753,1,0,,S,1
1,female,,0,0,31.0,,1
1,male,18.0,1,0,480.34936883574335,C,0
3,male,36.0,1,0,,S,0
3,female,45.0,0,0,7.75,S,0
3,male,,0,0,8.05,S,0
2,male,42.0,0,0,13.0,S,0
1,male,199.89969604276175,0,0,25.5875,S,0
1,female,71.41992965219292,0,0,77.9583,S,1
3,male,21.0,0,0,7.8542,S,0
2,male,34.0,0,0,13.0,S,0
2,male,,1,1,,S,1
1,female,,1,0,,C,1
3,female,,0,2,22.3583,C,1
1,female,,0,0,,S,1
3,female,14.0,0,0,7.8542,,0
3,female,,0,0,7.75,Q,1
1,female,,0,0,79.2,C,1
1,male,50.0,2,0,133.65,S,1
3,male,37.0,2,0,7.925,S,0
3,male,22.0,0,0,8.05,S,0
3,male,43.0,0,0,,S,0
3,male,17.0,0,0,8.6625,S,0
3,male,,0,0,7.2292,C,0
2,male,27.0,0,0,26.0,S,0
3,female,26.0,0,0,7.8542,S,1
